bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000278e-02 2.500000000000000139e-02 5.235987755982989206e-04 0.000000000000000000e+00 1.743964849017154151e-01 0.000000000000000000e+00
1.000000000000000000e+00 5.000000000000000278e-02 1.000000000000000056e-01 7.500000000000001110e-02 3.665191429188092553e-03 0.000000000000000000e+00 1.220775394311999440e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.000000000000000056e-01 1.500000000000000222e-01 1.250000000000000000e-01 9.948376736367682202e-03 0.000000000000000000e+00 3.313533213132588529e+00 0.000000000000000000e+00
3.000000000000000000e+00 1.500000000000000222e-01 2.000000000000000111e-01 1.750000000000000167e-01 1.937315469713705995e-02 0.000000000000000000e+00 6.452669941363466499e+00 0.000000000000000000e+00
4.000000000000000000e+00 2.000000000000000111e-01 2.500000000000000000e-01 2.250000000000000056e-01 3.193952531149622104e-02 0.000000000000000000e+00 1.063818557900457762e+01 0.000000000000000000e+00
5.000000000000000000e+00 2.500000000000000000e-01 3.000000000000000444e-01 2.750000000000000222e-01 4.764748857944525046e-02 0.000000000000000000e+00 1.587008012605602048e+01 0.000000000000000000e+00
6.000000000000000000e+00 3.000000000000000444e-01 3.500000000000000333e-01 3.250000000000000666e-01 6.649704450098394004e-02 0.000000000000000000e+00 2.214835358251769648e+01 0.000000000000000000e+00
7.000000000000000000e+00 3.500000000000000333e-01 4.000000000000000222e-01 3.750000000000000000e-01 8.848819307611252571e-02 0.000000000000000000e+00 2.947300594838978682e+01 0.000000000000000000e+00
8.000000000000000000e+00 4.000000000000000222e-01 4.500000000000000111e-01 4.250000000000000444e-01 1.136209343048308340e-01 0.000000000000000000e+00 3.784403722367202505e+01 0.000000000000000000e+00
9.000000000000000000e+00 4.500000000000000111e-01 5.000000000000000000e-01 4.749999999999999778e-01 1.418952681871389343e-01 0.000000000000000000e+00 4.726144740836465985e+01 0.000000000000000000e+00
